RPM,MPH,CurrentGear,RevMatch,Load,Throttle,Time
878,0.0,1,-1,32,13,1755529987423
875,0.0,1,-1,32,13,1755529987454
873,0.0,1,-1,32,13,1755529987485
872,0.0,1,-1,32,13,1755529987732
866,0.0,1,-1,33,13,1755529987778
867,0.0,1,-1,33,13,1755529987931
863,0.0,1,-1,34,13,1755529987963
864,0.0,1,-1,34,13,1755529988044
864,0.0,1,-1,34,13,1755529988182
864,0.0,1,-1,34,13,1755529988213
864,0.0,1,-1,34,13,1755529988244
864,0.0,1,-1,34,13,1755529988291
861,0.0,1,-1,34,13,1755529988337
861,0.0,1,-1,34,13,1755529988383
851,0.0,1,-1,36,13,1755529988647
851,0.0,1,-1,36,13,1755529988678
849,0.0,1,-1,36,13,1755529988708
844,0.0,1,-1,36,13,1755529988771
847,0.0,1,-1,36,13,1755529988818
849,0.0,1,-1,36,13,1755529988849
847,0.0,1,-1,36,13,1755529988895
846,0.0,1,-1,36,13,1755529988941
848,0.0,1,-1,36,13,1755529988973
851,0.0,1,-1,36,13,1755529989004
852,0.0,1,-1,36,13,1755529989035
857,0.0,1,-1,36,13,1755529989081
855,0.0,1,-1,36,13,1755529989143
853,0.0,1,-1,36,13,1755529989176
854,0.0,1,-1,36,13,1755529989222
855,0.0,1,-1,36,13,1755529989375
858,0.0,1,-1,36,13,1755529989407
857,0.0,1,-1,35,13,1755529989453
859,0.0,1,-1,35,13,1755529989515
864,0.0,1,-1,35,13,1755529989561
863,0.0,1,-1,35,13,1755529989608
864,0.0,1,-1,35,13,1755529989640
864,0.0,1,-1,35,13,1755529989779
875,0.0,1,-1,42,14,1755529989811
889,0.0,1,-1,57,15,1755529989874
894,0.0,1,-1,57,15,1755529989922
908,0.0,1,-1,59,15,1755529990061
971,0.0,1,-1,62,15,1755529990093
990,0.0,1,-1,62,15,1755529990123
1013,0.0,1,-1,63,16,1755529990170
1067,0.0,1,-1,63,16,1755529990215
1123,0.0,1,-1,60,16,1755529990277
1185,0.0,1,-1,60,16,1755529990309
1213,0.0,1,-1,50,16,1755529990341
1240,0.0,1,-1,50,16,1755529990387
1495,0.0,1,-1,23,13,1755529990637
1506,0.0,1,-1,23,12,1755529990668
1510,0.0,1,-1,23,12,1755529990699
1451,0.0,1,-1,19,12,1755529990731
1290,0.0,1,-1,36,14,1755529990997
1290,0.0,1,-1,44,14,1755529991029
1291,0.0,1,-1,44,15,1755529991061
1293,0.0,1,-1,44,15,1755529991092
1298,0.0,1,-1,44,16,1755529991138
1309,0.0,1,-1,44,16,1755529991169
1316,0.0,1,-1,48,16,1755529991200
1331,0.0,1,-1,51,16,1755529991231
1339,0.0,1,-1,51,16,1755529991277
1358,0.0,1,-1,51,16,1755529991340
1396,0.0,1,-1,51,16,1755529991370
1408,0.0,1,-1,51,16,1755529991402
1430,0.0,1,-1,43,15,1755529991433
1440,0.0,1,-1,43,15,1755529991480
1453,0.0,1,-1,43,16,1755529991511
1452,0.0,1,-1,48,16,1755529991543
1443,0.0,1,-1,48,16,1755529991574
1426,0.0,1,-1,48,17,1755529991638
1400,0.0,1,-1,55,17,1755529991684
1344,0.0,1,-1,55,17,1755529991729
1323,0.0,1,-1,60,18,1755529991760
1279,0.0,1,-1,60,18,1755529991792
1252,0.0,1,-1,60,18,1755529991824
1230,0.0,1,-1,60,18,1755529991855
1188,0.0,1,-1,60,18,1755529991886
1166,0.0,1,-1,60,18,1755529991917
1149,0.0,1,-1,78,19,1755529991964
1136,0.0,1,-1,78,20,1755529991995
1111,0.0,1,-1,83,20,1755529992059
1093,0.0,1,-1,83,20,1755529992106
1084,1.0,1,-1,83,20,1755529992152
1079,1.0,1,-1,86,20,1755529992183
1088,1.0,1,-1,86,20,1755529992229
1088,1.0,1,-1,87,20,1755529992260
1093,1.0,1,-1,87,20,1755529992290
1117,1.0,1,-1,87,20,1755529992321
1121,1.0,1,-1,81,20,1755529992366
1141,1.0,1,-1,81,19,1755529992413
1151,1.0,1,-1,81,19,1755529992459
1228,3.0,1,-1,77,20,1755529992727
1272,4.0,1,-1,82,21,1755529993196
1284,4.0,1,-1,73,20,1755529993242
1293,5.0,1,-1,73,20,1755529993273
1330,5.0,1,-1,73,20,1755529993305
1344,5.0,1,-1,64,19,1755529993337
1369,5.0,1,-1,64,19,1755529993368
1396,5.0,1,-1,64,19,1755529993413
1434,5.0,1,-1,58,18,1755529993443
1444,6.0,1,-1,58,18,1755529993476
1485,6.0,1,-1,58,18,1755529993521
1531,6.0,1,-1,60,18,1755529993568
1549,6.0,1,-1,60,18,1755529993599
1565,6.0,1,-1,64,18,1755529993740
1588,6.0,1,-1,64,18,1755529993772
1592,6.0,1,-1,69,19,1755529993803
1605,6.0,1,-1,61,19,1755529993849
1587,6.0,1,-1,61,17,1755529993896
1501,6.0,1,-1,26,12,1755529993945
1449,6.0,1,-1,26,12,1755529993976
1468,6.0,1,-1,26,11,1755529994007
1427,6.0,1,-1,11,11,1755529994054
1084,6.0,1,-1,29,14,1755529994303
1085,6.0,1,-1,29,14,1755529994444
1100,6.0,1,-1,90,23,1755529994490
1090,6.0,1,-1,90,23,1755529994520
1074,6.0,1,-1,90,23,1755529994552
1045,6.0,1,-1,90,23,1755529994583
