RPM,MPH,CurrentGear,RevMatch,Time
655,0,1,-1,118
659,0,1,-1,213
663,0,1,-1,520
672,0,1,-1,620
667,0,1,-1,1146
661,0,1,-1,1247
657,0,1,-1,1579
650,0,1,-1,1677
648,0,1,-1,1785
651,0,1,-1,2091
644,0,1,-1,2191
649,0,1,-1,2304
649,0,1,-1,2608
649,0,1,-1,2923
655,0,1,-1,3039
655,0,1,-1,3137
654,0,1,-1,3450
662,0,1,-1,3535
658,0,1,-1,3644
660,0,1,-1,3769
662,0,1,-1,3864
660,0,1,-1,3973
661,0,1,-1,4294
653,0,1,-1,4403
651,0,1,-1,4524
652,0,1,-1,4624
647,0,1,-1,4732
652,0,1,-1,4862
648,0,1,-1,4962
647,0,1,-1,5043
648,0,1,-1,5174
646,0,1,-1,5489
654,0,1,-1,5604
655,0,1,-1,5914
657,0,1,-1,6002
659,0,1,-1,6074
661,0,1,-1,6173
853,0,1,-1,6707
1119,0,1,-1,6807
1290,0,1,-1,6907
1414,0,1,-1,7034
1546,0,1,-1,7140
1566,0,1,-1,7444
1532,0,1,-1,7535
1462,0,1,-1,7643
826,2,1,-1,8459
1126,2,1,-1,8563
1319,3,1,-1,8663
1423,4,1,-1,8971
1245,4,1,-1,9061
1142,5,1,-1,9381
1462,5,1,-1,9489
1476,6,1,-1,9607
1443,6,1,-1,9704
1504,6,1,-1,9808
1596,6,1,-1,9918
1670,6,1,-1,10208
1820,8,1,-1,10708
1886,8,1,-1,10803
1938,8,1,-1,10903
1977,8,1,-1,10996
1976,8,1,-1,11119
1964,8,1,-1,11228
1896,8,1,-1,11533
1471,8,1,-1,11621
1329,8,1,-1,11724
1029,8,2,865,11852
1028,8,2,865,11944
1242,8,1,-1,12247
1175,8,2,865,12358
1199,9,2,973,12443
1248,9,2,973,12553
1316,9,2,973,12844
1339,9,2,973,12946
1358,10,2,1081,13046
1386,10,2,1081,13149
1415,10,2,1081,13274
1452,11,2,1189,13577
1450,11,2,1189,13684
1456,11,2,1189,13970
1456,11,2,1189,14070
1454,11,2,1189,14164
1461,11,2,1189,14276
1459,11,2,1189,14564
1450,11,2,1189,14670
1453,11,2,1189,14799
1442,11,2,1189,14909
1435,11,2,1189,15023
1420,11,2,1189,15125
1380,10,2,1081,15427
1413,10,2,1081,15524
1384,10,2,1081,15623
1314,10,2,1081,15724
1335,10,2,1081,15823
1365,9,2,973,16331
1368,10,2,1081,16435
1361,10,2,1081,16526
1378,10,2,1081,16988
1377,10,2,1081,17287
1378,10,2,1081,17385
1354,10,2,1081,17482
1381,10,2,1081,17783
1385,10,2,1081,17874
